ActionNumber,FChMotion,WaitTime01,TextBubble1,TextBubble1Audio,Question,Answers,Correct,TextBubble2,TextBubble2Audio,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName
0,Idle_01,1,전화|따르릉~ 따르릉~,act_001_000_000_000_000_000,,,,,,Idle_01,Cap_Point001,,,,"""false""","""false""","""false""","""false""","""false""",선장
1,Idle_01,2,"선장|네, 선장입니다|2항사|선장님, 기관실 보일러에 화재, B급 중형화재 발생하였습니다",act_001_000_001_000_000_001|act_001_000_001_000_001_001,지시할 사항을 선택하세요,비상벨 알람과 화재방송 지시|기관실 화재 진압 지시|기관실 현황 점검 지시,0,선장|즉시 소화훈련 시작하겠습니다. 비상배치신호 취부 바랍니다.,act_001_000_001_001_000_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
2,Idle_01,2,,,브릿지로 이동 전 챙겨야 할 물품은?,"작업복 착용|안전화, 안전모|트랜시버",2,,,Walking_01,,Cap_Path001,,,"""false""","""false""","""false""","""false""","""false""",
3,Idle_01,2,||2항사|비상신호 울리고 비상소집 장소로 모이고 있습니다,|act_001_000_003_000_001_001,지시사항을 선택하세요,"3항사에게 인수인계 지시|주변선박에 통보 지시|항만국, 회사에 보고 지시",0,선장|3항사 올라오면 인수인계 하고 비상소집 장소로 이동하세요,act_001_000_003_001_000_001,Walking_01,,Cap_Path002,,010|0|002|5|005|11,"""false""","""false""","""false""","""false""","""false""",
4,Idle_01,2,,,통풍 차단을 현장지휘하는 담당자는?,1항사|기관장|1기사,1,"선장|기관장은 통풍 차단 실시바랍니다|||선장|연료유V/V 차단하여 Engine을 정지시키고, 비상발전기와 비상소화펌프를 가동하고 보고하세요",act_001_000_004_001_000_001||act_001_000_004_001_002_001,Idle_01,,,,005|5,"""false""","""false""","""false""","""false""","""false""",
5,Idle_01,2,,,화재발생장소가 부산항인 경우 보고해야 할 관청은?,부산 해경|부산 항만청|VTS 관제소,2,선장|항무부산 여기는 A선박 현위치는 34-10.1N 129-10.2E에서 기관실 화재 발생 지원요청 합니다|||선장|상무님 여기는 A선박 현위치는 34-10.1N 129-10.2E에서 기관실 화재 발생 지원요청 합니다,act_001_000_005_001_000_001||act_001_000_005_001_002_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
6,Idle_01,2,,,선박 조종 불능 상태를 나타내는 방법은?,주변 선박에 경고음을 발생|주간형상물(홍등 2개)게시|신호깃발 게시,1,"선장|3항사 VHF CH.16으로 주위선박에 주의 통보하고 주간 형상물 흑구 2개 게시, 그리고 비상대응 상황일지 작성해주세요",act_001_000_006_001_000_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
7,Idle_01,2,,,지정된 비상소집장소(Muster Station)는 어디인가?,선미 데크|기관실 내부|브릿지,0,"선장|인원보고 바랍니다|1항사|Muster Station 집결 인원보고, 총원 17명 선교당직 3명 현재원 14명 이상입니다|선장|양지했습니다. 현재 중형화재로 소방원 장구를 착용하지 않고 화재구역을 진입할 수 없으니 소방원 장구를 착용한 진입반 준비되는 대로 보고 바랍니다|1항사|예, 현장 소방원 장구 착용한 진입반 2명 준비하겠습니다|선장|소화호스조는 신속히 화재현장에 소화호스를 설치하고, 냉각호스조는 좌현, 우현으로 화재구역 주변 냉각 실시바라며 소화호스조는 Form Applicator 연결 준비하고 준비상황 통보바랍니다",act_001_000_007_001_000_001|act_001_000_007_001_001_001|act_001_000_007_001_002_001|act_001_000_007_001_003_001|act_001_000_007_001_004_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
8,Idle_01,2,선장|진압조 보고하세요|1항사|1항사 화재현장 화재진압조 보고합니다. 현재 준비상황 완료되었습니다,act_001_000_008_000_000_001|act_001_000_008_000_001_001,소방원장구 착용자 관련 핵심 점검 사항은?,BA실린더 압력|소방원장구 외관상태|마스크 착용상태,0,"선장|화재진압반 점검 완료후 투입바랍니다|1항사|예, 현장 소방원 장구 착용한 진압반 투입하겠습니다|||1항사|BA실린더 압력 30Mpa, By Pass V/V의 작동상태, Alarm test확인 완료|||1항사|마스크 착용상태, 방폭등 상태 양호합니다|||1항사|진입자 갑판수A, 갑판수B, 진입시간 현재시작 14시 10분 진입반 투입하겠습니다",act_001_000_008_001_000_001|act_001_000_008_001_001_001||act_001_000_008_001_003_001||act_001_000_008_001_005_001||act_001_000_008_001_007_001,Idle_01,,,,010|1,"""false""","""false""","""false""","""false""","""false""",
9,Idle_01,2,"||1항사|보고합니다. 현장 화재 진압 도중 소화호스조 부상자 발생, 기관수C 발목 부상 발생했습니다|||1항사|응급지원반 지원바랍니다",|act_001_000_009_000_001_001||act_001_000_009_000_003_001,응급지원반의 인원구성은?,"2항사, 조리장|기관장, 1기사|3항사, 갑판장",0,"선장|응급지원반은 부상자를 부축하여 안전한 곳으로 이동하여 응급조치 후 환자상황 보고 바랍니다|2항사|예, 지원반 양지했습니다. 기관수C 안전한 곳으로 이동하여 응급조지 후 상황보고 하겠습니다|||2항사|기관수C 발목부상은 심한 상태는 아니며 상처 소독치료 후 안전한 장소에서 대기하고 있습니다",act_001_000_009_001_000_001|act_001_000_009_001_001_001||act_001_000_009_001_003_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
10,Idle_01,2,"||1항사|보고합니다. 브릿지 현장, 현재 기관실 화재가 급속도로 확산되어 화재진압이 불가능 합니다",|act_001_000_010_000_001_001,기관실 화재진압을 위한 최후 수단은?,FORM APPLICATOR|WATER MIST|FIXED CO2 소화장치,1,선장|총원 기관실에서 대피하고 고정식 CO2 사용 준비 후 즉시 인원보고 하세요|1항사|총원 대피 CO2 사용 준비!,act_001_000_010_001_000_001|act_001_000_010_001_001_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
11,Idle_01,2,"||1항사|브릿지 현장, 기관실 CO2 발사전 Muster Station 집합인원 보고 드립니다|||1항사|총원 20명 선교당직 3명 현재원 17명 이상",|act_001_000_011_000_001_001||act_001_000_011_000_003_001,고정식 CO2 소화장치 사용시 모든 인원이 대피해야 하는 이유는?,기관실 냉각으로 인명손상 위험이 있음|본선 소화장치 중 마지막 수단이기 때문|통풍차단을 위한 인원은 남아 있어야 함,2,선장|기관장은 현장 통풍 차단 여부 다시한번 확인하여 보고바랍니다|기관장|기관실 현장 통풍 차단 전부 확인하였습니다,act_001_000_011_001_000_001|act_001_000_011_001_001_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
12,Idle_01,2,,,고정식 CO2 소화장치를 작동시킬 수 있는 장소는?,BRIDGE|CO2 ROOM|REMOTE CONTROL ROOM,2,선장|기관실 CO2 발사!|기관장|기관실 고정식 CO2 발사 완료하였습니다,act_001_000_012_001_000_001|act_001_000_012_001_001_001,Idle_01,,,005|16,,"""false""","""false""","""false""","""false""","""false""",
13,Idle_01,2,,,고정식 CO2 소화장치 사용 후 필요한 대응은?,기관실 주변 냉각|기관실 내부 소화수 살포|시간 경과 대기,0,"선장|소화호스조와 냉각호스조는 계속해서 기관실 주변 냉각 실시 바랍니다|1항사|예, 냉각호스조 양현 배치하여 냉각 실시하고 있습니다",act_001_000_013_001_000_001|act_001_000_013_001_001_001,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
14,Idle_01,2,"선장|CO2 방출 후 1시간 경과를 가정하고, 현장 소방원 장구 착용자 투입하여 진압여부 확인하세요|1항사|예, 소방원장구 착용자 투입하여 화재진압여부 확인하겠습니다",act_001_000_014_000_000_001|act_001_000_014_000_001_001,소방원장구 착용자가 사용하여야 할 장비는?,랜턴(Lantern)|구명줄(Lifeline)|소화기(Fire extinguisher),1,,,Idle_01,,,010|13,,"""false""","""false""","""false""","""false""","""false""",
15,Idle_01,2,"선장|현재 화재진압상황이 어떠한지 보고 바랍니다|1항사|브릿지 현장, 기관실 확인 결과 CO2방출 이후에도 불길이 잡히지 않고 있습니다|||1항사|반복합니다. 화재진압실패 상황입니다.",act_001_000_015_000_000_001|act_001_000_015_000_001_001||act_001_000_015_000_003_001,화재진압실패로 퇴선을 결정할 경우 고려해야 할 사항은?,인명의 안전 확보|선체 침수 여부|화물 유지 보존,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",
16,Idle_01,2,,,화재진압여부 보고할 곳을 선택하세요,"회사, 항만국, 주변선박|해양경찰청장, 항만청장|시장, 부산항만공사",0,"선장|항무부산 여기는 A선박 현위치는 34-10.1N 129-10.2E|||선장|기관실 화재진압 실패로 퇴선합니다. 지원바랍니다.|||선장|상무님 여기는 A선박 현위치는 34-10.1N 129-10.2E|||선장|기관실 화재진압 실패로 퇴선합니다. 지원바랍니다|||선장|VHF CH.16) MAYDAY / MAYDAY / MAYDAY  THIS IS VESSEL A, POSITION 34-10N 129-10E|||선장|WE DECIDED TO ABANDON SHIP. PLEASE RESCUE US",act_001_000_016_001_000_001||act_001_000_016_001_002_001||act_001_000_016_001_004_001||act_001_000_016_001_006_001||act_001_000_016_001_008_001||act_001_000_016_001_010_001,Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",
