ActionNumber,FChMotion,WaitTime01,TextBubble1,TextBubble1Audio,Question,Answers,Correct,TextBubble2,TextBubble2Audio,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff
0,Idle_01,2,"||2항사|14시, NO.5(P) BALLAST TANK 점검 작업중이던 갑판장이 의식을 잃고 쓰러졌습니다|선장|갑판장의 NO.5(P) BALLAST TANK 진입시간은?|2항사|13시50분입니다.",,밀폐구역 작업허가는 승인된 것인가?,작업계획에 따라 승인됨|승인할 필요 없음|회사의 승인이 필요함,0,,,Idle_01,Cap_Point001,,,,"""false""","""false""","""false""","""false""","""false"""
1,Idle_01,2,"선장|비상벨을 울리고 밀폐구역 진입 구조 훈련 방송 바랍니다|2항사|DRILL DRILL DRILL, ENCLOSED SPACE RESCUE DRILL, RESCUE THE BOSUN IN NO.5(P) BALLAST SPACE ON DECK",,비상소집신호는 다음 중 어떤 것인가?,단음5회|단음7회 장음1회|장음3회,1,,,Walking_01,,Cap_Bri,,,"""false""","""false""","""false""","""false""","""false"""
2,Idle_01,2,선장|항무부산 여기는 A선박 현위치 34-10.1N 129-10.2E에서 밀폐구역에서 의식을 잃은 부상자가 있습니다. 지원 바랍니다.,,항만국(부산)에 보고할 때 사용하는 통신장비는?,VHF|TRANCEIVER|휴대전화,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
3,Idle_01,2,선장|P상무님(DP) 여기는 A선박 현위치 34-10.1N 129-10.2E에서 밀폐구역에서 의식을 잃은 부상자가 있습니다. 지원 바랍니다.,,회사에 보고할 때 사용하는 통신장비는?,VHF|TRANCEIVER|위성전화,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
4,Idle_01,2,"||1항사|브릿지 현장 감도 있습니까?|선장|네, 감도 좋습니다|1항사|MUSTER STATION 집결 인원보고 드립니다. 총원 17명, 열외 항해당직 2명, 기관부원 4명, 현재원 11명 이상",,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
5,Idle_01,2,"선장|업무 담당자의 휴대품 확인 후 보고 바랍니다|1항사|네, 담당자 전원 해당 물품을 소지하고 집합하였습니다",,삼각구조대와 Harness를 준비해야 할 담당자는 누구인가?,1항사|기관장|2기사,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
6,Idle_01,2,"선장|구조계획 보고 바랍니다|1항사|소방원 장구 착용자 갑판수A와 갑판수B를 밀폐구역 NO.5(P) BALLAST TANK에 진입하도록 하여, 질식으로 쓰러진 갑판장을 구조하도록 하겠습니다|선장|구조계획 승인합니다. 진입 전 점검사항 보고 바랍니다",,NO.5(P) BALLAST TANK의 용도는?,BALLAST TANK|FUEL TANK|화물창과 기관실 사이의 빈 공간,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
7,Idle_01,2,선장|전 선원은 현장에서 비상대응을 위해 BALLAST TANK 5(P) 앞으로 이동 바랍니다.,,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
8,Idle_01,2,"||1항사|갑판장은 Harness와 삼각구조대를 이용하여 갑판 위로 끌어올리도록 하겠습니다|선장|갑판장 상태를 보고, 추가 부상이 발생하지 않도록 주의하기 바랍니다",,"호흡이 정지되어, 뇌사가 진행되기 시작하는 시간은?",2분|4분|6분 ,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
9,Idle_01,2,"||1항사|선장님, 갑판장을 끌어 올려서 응급처치 중입니다|선장|네, 응급처치 바랍니다. 부상자 상태를 직접 확인을 하기 위해 현장에 가도록 하겠습니다",,,,,,,Walking_01,,Bri-BWT,,,"""false""","""false""","""false""","""false""","""false"""
10,Idle_01,2,"||1항사|심폐소생술 시행 결과, 다행히 갑판장의 호흡이 돌아왔습니다|선장|다행입니다. 의식이 회복될 때까지 병원 침실에서 휴식을 취하면서 경과를 보고 바랍니다. 훈련 종료하겠습니다.",,부상자가 호흡을 회복하였으나 의식이 돌아오지 않을 경우 필요한 조치는?,의식을 회복할 때까지 기다린다|전문의의 자문을 구한다|헬리콥터를 수배하여 인근 병원으로 긴급 호송한다,2,,,Walking_01,,ToBri,,,"""false""","""false""","""false""","""false""","""false"""
11,Idle_01,2,"선장|항무부산 여기는 A선박 현위치 34-10.1N 129-10.2E에서 밀폐구역 구조훈련 결과, 긴급구조에 성공하여 상황 종료합니다.",,밀폐구역 부상자의 위험에 대하여 검토해야 하는 자료는?,위험성 평가 재실시|작업허가 제도 보완|밀폐구역 작업 금지,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
12,Idle_01,2,"선장|P상무님(DP) 여기는 A선박 현위치 34-10.1N 129-10.2E에서 밀폐구역 구조훈련 결과, 긴급구조에 성공하여 상황 종료합니다.",,밀폐구역 구조훈련을 시행해야 하는 주기는?,매월 시행|2개월 주기 시행|3개월 주기 시행,1,,,Idle_01,,,,,"""false""","""false""","""true""","""false""","""false"""
