ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,TagName,video,ActionEnum
0,Idle_01,2,"""true""",Why we have to do the emergency cock-bill?,To stop in the emergency situation|To prepare closing port| Always has to be prepare,1,"""false""",Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false""",Captain,,a00
1,Idle_01,3,"""true""",What is the rong correct about safe checking sheet?,All crew getherring at muster station|preparing emergency sailing for the engineer|Checking equipments,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a01
2,Idle_01,3,"""true""",What is the kind of emergency bell?,"short 7 times, long 1 time|long 3 times|short 5 times",2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a02
3,Idle_01,20,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a03
4,Idle_01,10,"""true""",Q_06,Q_06|Q_06|Q_06,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a04
5,Idle_01,2,"""true""",Q_22,Q_22|Q_22|Q_22,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a05
6,Idle_01,2,"""true""",Q_23,Q_23|Q_23|Q_23,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a06
7,Idle_01,2,"""true""",Q_25,Q_25|Q_25|Q_25,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a07
8,Idle_01,2,"""true""",Q_01,Q_01|Q_01|Q_01,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a08
9,Idle_01,2,"""true""",Q_26,Q_26|Q_26|Q_26,0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a09
10,Idle_01,10,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a10
11,Idle_01,2,"""true""",Q_27,Q_27|Q_27|Q_27,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a11
12,Idle_01,2,"""true""",Q_28,Q_28|Q_28|Q_28,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a12
13,Idle_01,2,"""true""",Q_29,Q_29|Q_29|Q_29,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a13
14,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a14
15,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a15
16,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,,a16
17,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a17
18,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a18
19,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a19
20,Idle_01,2,"""true""",Q_30,Q_30|Q_30|Q_30,0,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a20
21,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a21
22,Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,,a22
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
