ActionNumber,FChMotion,WaitTime01,TextBubble1,TextBubble1Audio,Question,Answers,Correct,TextBubble2,TextBubble2Audio,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff
0,Idle_01,2,"비상벨|DRILL DRILL DRILL FIRE IN E/R Boiler, B Class Fire Medium Size. ALL STATION ALL S/B at Muster Station",act_002_000_000_000_000_001,어떤 조치를 하시겠습니까?,화물 점검을 계속한다|브릿지에 가서 상황을 확인한다|비상소집장소로 이동한다,2,,,Idle_01,Point001,,,,"""false""","""false""","""false""","""false""","""false"""
1,Idle_01,2,,,화재 장소는 어디입니까?,거주구역|화물창|기관실,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
2,Idle_01,2,,,화재 종류는 무엇입니까?,A급 일반화재|B급 유류화재|C급 전기화재,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
3,Idle_01,2,,,화재 규모는 어떻습니까?,대형|중형|소형,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
4,Idle_01,2,,,필요한 안전복장은 무엇입니까?,"작업복, 안전모, 안전화, 트랜시버|구명조끼, 방수복|2 Way VHF",0,,,Walking_01,,Path001(갑판화물창에서머스터로),,,"""false""","""false""","""false""","""false""","""false"""
5,Idle_01,2,"1항사|브릿지 현장 감도 있습니까?|선장|네, 감도 좋습니다|1항사|MUSTER STATION 집결 인원보고 드립니다. 총원 17명 선교 당직 3명 현재원 14명 이상",act_002_000_005_000_000_001|act_002_000_005_000_001_001|act_002_000_005_000_002_001,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
6,Idle_01,2,"||선장|기관실 소화작업을 위해 소방원장구 착용자 2명 준비 바랍니다|1항사|네, 소방원장구 착용자 갑판수A, 갑판수B 준비하겠습니다.",|act_002_000_006_000_001_001|act_002_000_006_000_002_001,소방원장구는 어디에 있습니까?,브릿지|선수창고|FIRE CONTROL ROOM,2,"1항사|갑판장은 갑판수A, 조리장은 갑판수B 소방원 장구 착용을 도와주세요.",act_002_000_006_001_000_001,Idle_01,,,,010|9,"""false""","""false""","""false""","""false""","""false"""
7,Idle_01,2,"||선장|기관실 화재구역 냉각을 위해 소화호스조, 냉각호스조 배치 바랍니다|1항사|네, 소화호스조, 냉각호스조 준비하겠습니다.",|act_002_000_007_000_001_001|act_002_000_007_000_002_001,냉각호스조의 역할은 무엇입니까?,기관실로 유입되는 산소차단|화재구역의 열기 냉각|소화호스조의 역할과 동일,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
8,Idle_01,2,"1항사|선장님, 소방원장구 착용자 2명 준비 되었습니다.|||1항사|BA 실린더 압력 30 Mpa, By pass V/V의 작동상태, Alarm Test 확인 완료. 마스크 착용상태, 방폭등 상태 양호합니다. 진입자 갑판수A, 갑판수B, 진입시간 현재시각 14시 10분입니다|선장|소방원장구 착용자 2명, 기관실 화재진압을 위해 투입 바랍니다|1항사|네, 타기실 입구를 통해 기관실 진입하겠습니다.",act_002_000_008_000_000_001||act_002_000_008_000_002_001|act_002_000_008_000_003_001|act_002_000_008_000_004_001,,,,,,Walking_01,,Path002(머스터에서 타기실),010|10,,"""false""","""false""","""false""","""false""","""false"""
9,Idle_01,2,1항사|현장 화재 진압 도중 소화호스조 부상자 발생. 기관수C 발목 부상자발생. 응급지원반 지원바랍니다|선장|응급지원반은 부상자 부축하여 안전한 곳으로 이동하여 응급조치 후 환자상황 보고 바랍니다,act_002_000_009_000_000_001|act_002_000_009_000_001_001,응급지원반의 구성은?,"2항사, 조리장|기관장, 1기사|3항사, 갑판장",0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
10,Idle_01,2,"||갑판수A|기관실 화재가 확산되어 진압이 불가합니다|1항사|선장님, 기관실 화재가 확산되어 진압이 불가능한 상태입니다|선장|그렇다면 고정식 CO2 장비 사용을 위해 대피 후 인원보고 바랍니다",|act_002_000_010_000_001_001|act_002_000_010_000_002_001|act_002_000_010_000_003_001,고정식 CO2 소화장치를 작동시키는 담당자는?,선장|1항사|기관장,2,1항사|총원대피 CO2 사용준비!,act_002_000_010_001_000_001,Walking_01,,Path003(타기실에서 머스터),001|10,005|15,"""false""","""false""","""false""","""false""","""false"""
11,Idle_01,2,"1항사|브릿지 현장, CO2 발사 전 MUSTER STATION 집합 인원보고 드립니다. 총원 20명 선교 당직 3명 현재원 17명 이상|선장|현장통풍 차단 확인되었습니까?|||기관장|네, 통풍차단 확인하였습니다|||선장|CO2 발사|||기관장|CO2 발사",act_002_000_011_000_000_001|act_002_000_011_000_001_001||act_002_000_011_000_003_001||act_002_000_011_000_005_001||act_002_000_011_000_007_001,고정식 CO2 소화장치 사용시 모든 인원이 대피해야 하는 이유는?,기관실 냉각으로 인명손상 위험이 있음|본선 소화장치 중 마지막 수단이기 때문|통풍차단을 위한 인원은 남아 있어야 함,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
12,Idle_01,2,"||선장|CO2 방출 후 1시간 경과를 가정하고, 현장 소방원장구 착용자 투입하여 화재 진압여부 확인 바랍니다|1항사|네, 소방원장구 착용자 투입 확인하겠습니다",|act_002_000_012_000_001_001|act_002_000_012_000_002_001,소방원장구 착용자가 사용하여야 할 장비는?,랜턴(Lantern)|구명줄(Lifeline)|소화기(Fire extinguisher),1,,,Walking_01,,Path004(머스터에서 타기실),010|14,,"""false""","""false""","""false""","""false""","""false"""
13,Idle_01,2,"||갑판수A|기관실 화재가 확산되어 진압이 불가합니다|1항사|선장님, 기관실 화재가 확산되어 진압이 불가능한 상태입니다",|act_002_000_013_000_001_001|act_002_000_013_000_002_001,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
14,Idle_01,2,||선장|총원 퇴선준비 바랍니다,|act_002_000_014_000_001_001,,,,,,Idle_01,,,,,"""false""","""false""","""true""","""false""","""false"""
