ActionNumber,FChMotion,WaitTime01,TextBubble1,TextBubble1Audio,Question,Answers,Correct,TextBubble2,TextBubble2Audio,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff
0,Idle_01,2,"||2항사|DRILL DRILL DRILL, ENCLOSED SPACE RESCUE DRILL, RESCUE THE BOSUN IN NO.5(P) BALLAST SPACE ON DECK|1항사|""Enclosed Space Drill!"" ""Enclosed Space Drill!"" ",,밀폐구역 구조훈련 비상대응 소집장소는 어디인가?,Muster Station (선미)|갑판|NO.5(P) BALLAST TANK,1,,,Walking_01,o1st_Point001 (1),Deck_muster,,,"""false""","""false""","""false""","""false""","""false"""
1,Idle_01,2,"1항사|브릿지 현장 감도 있습니까?|선장|네, 감도 좋습니다|1항사|MUSTER STATION 집결 인원보고 드립니다. 총원 17명, 열외 항해당직 2명, 기관부원 4명, 현재원 11명 이상",,선장님께 보고할 때 사용하는 통신장비는?,VHF|TRANCEIVER|휴대전화,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
2,Idle_01,2,"||선장|업무 담당자의 휴대품 확인 후 보고 바랍니다|1항사|네, 3항사(가스검지기, EEBD), 기관장(안전벨트, 안전밧줄), |||1항사|1기사(Portable Fan), 2기사(삼각구조대, Harness), 3기사(조명장치), |||1항사|갑판수A&B(소방원장구 또는 에어라인 마스크), 조리장(담요와 물) 확인하였습니다|||1항사|네, 담당자 전원 해당 물품을 소지하고 집합하였습니다",,Harness의 용도는?,환자를 수직으로 끌어올리는 들것|긴급으로 산소공급을 위한 장치|밀폐구역의 산소 농도 측정,0,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
3,Idle_01,2,"||선장|구조계획 보고 바랍니다|1항사|소방원 장구 착용자 갑판수A와 갑판수B를 밀폐구역 NO.5(P) BALLAST TANK에 진입하도록 하여, 질식으로 쓰러진 갑판장을 구조하도록 하겠습니다|선장|구조계획 승인합니다. 진입 전 점검사항 보고 바랍니다|1항사|네, 점검 후 보고 드리겠습니다",,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
4,Idle_01,2,"||선장|전 선원은 현장에서 비상대응을 위해 BALLAST TANK 5(P) 앞으로 이동 바랍니다.|1항사|네, 현장으로 이동하겠습니다.",,,,,,,Walking_01,,Muster-BWT,,,"""false""","""false""","""false""","""false""","""false"""
5,Idle_01,2,"1항사|소방원장구 착용자 갑판수A, 갑판수B는 장비 착용하기 바랍니다",,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
6,Idle_01,2,"1항사|갑판장은 Harness와 삼각구조대를 이용하여 갑판 위로 끌어올리도록 하겠습니다|선장|갑판장 상태를 보고, 추가 부상이 발생하지 않도록 주의하기 바랍니다",,"호흡이 정지되어, 뇌사가 진행되기 시작하는 시간은?",2분|4분|6분 ,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
7,Idle_01,2,1항사|1기사는 Portable Fan으로 밀폐구역 환기 바랍니다|||1항사|3기사는 NO.5(P) BALLAST TANK 내부로 조명장치 설치 바랍니다|||1항사|기관장과 2기사는 삼각구조대 설치 바랍니다|||1항사|3항사는 밀폐구역 산소농도 측정 바랍니다,,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
8,Idle_01,2,"||3항사|산소농도 측정 결과 20% 진입 가능합니다|1항사|소방원장구 착용자 갑판수A, 갑판수B, BA 실린더 압력 30 Mpa, By pass V/V의 작동상태, Alarm Test 확인 완료. |||1항사|마스크 착용상태, 방폭등 상태 양호함. 현재시각 14시 15분 진압반 투입하겠습니다""|선장|네, 소방원장구 착용자 투입 바랍니다. 산소농도 지속적으로 확인 바랍니다.",,소방원장구의 By pass V/V의 작동상태를 확인해야 하는 이유는?,착용자의 호흡곤란시 대체 호흡방법 확보|산소탱크 압력저하시 알람 발생|실린더와 마스크를 연결해 주는 라인의 밸브,1,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
9,Idle_01,2,"||기관장|NO.5(P) BALLAST TANK에 진입한 소방원장구 착용자와 함께 갑판장을 끌어올렸습니다|1항사|갑판장을 갑판상으로 안전하게 끌어올렸으나, 의식이 없어 심폐소생술 시행하도록 하겠습니다|선장|네, 응급처치 바랍니다. 부상자 상태를 직접 확인을 하기 위해 현장에 가도록 하겠습니다",,,,,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
10,Idle_01,2,"1항사|심폐소생술 시행 결과, 다행히 갑판장의 호흡이 돌아왔습니다|선장|다행입니다. 의식이 회복될 때까지 병원 침실에서 휴식을 취하면서 경과를 보고 바랍니다. 훈련 종료하겠습니다.",,부상자가 호흡을 회복하였으나 의식이 돌아오지 않을 경우 필요한 조치는?,의식을 회복할 때까지 기다린다|전문의의 자문을 구한다|헬리콥터를 수배하여 인근 병원으로 긴급 호송한다,2,,,Idle_01,,,,,"""false""","""false""","""false""","""false""","""false"""
11,Idle_01,2,"1항사|밀폐구역 구조훈련 상황 종료합니다. 사용한 물품 제자리에 정리해 주시고, 자기 임무 역할 숙지 바랍니다.",,밀폐구역 구조훈련을 시행해야 하는 주기는?,매월 시행|2개월 주기 시행|3개월 주기 시행,1,,,Idle_01,,,,,"""false""","""false""","""true""","""false""","""false"""
