ActionNumber,FChMotion,WaitTime01,TextBubble1,Question,Answers,Correct,TextBubble2,NChMotion,StandingPosition,MovePath,InAction1,InAction2,IsMeA,IsMeB,IsMeC,IsWaterOn,IsWaterOff,video,ActionEnum
0,Writing_01|Writing_01|Idle_01,2,"""true""",What action would you like to take?,Proceed to engine room maintenance|Check the situation in navigation bridge|Quickly move to the muster station,2,"""false""",Walking_01,Point001,Path001,,,"""false""","""false""","""false""","""false""","""false""",,a00
1,Telephone_B_01|Telephone_B_03|Idle_01,2,"""false""",Where is the fire place?,Accommodation|Cargo hold/tanks|Engine room,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a01
2,Idle_01,2,"""false""",What was the kind of fire?,A class general fire|B class oil fire|C class electric fire,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a02
3,Idle_01,2,"""false""",What size was the fire?,Large size|Medium size|Small size,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a03
4,Idle_01,2,"""false""",What kind of safe device do you need?,"Working clothes, Safety helment, Safety shoes, Tranceiver|Life jacket, Immersion suit|2 way VHF",0,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a04
5,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a05
6,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a06
7,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a07
8,Tranceiver_01|Idle_01,2,"""true""",What is the reason to use emergency fire pump?,Because of drill situation|General service pump in engine room is out of control|To press up the fire fighting water,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a08
9,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Walking_01,,Path002,,,"""false""","""false""","""false""","""false""","""false""",,a09
10,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a10
11,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a11
12,Tranceiver_01|Idle_01,2,"""true""",Where are the firemen's outfut equipment?,Navigational bridge|Bosun store|Fire Control Room,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a12
13,Tranceiver_01|Idle_01,2,"""true""",What is the role of boundary cooling team?,Oxygen blocking into the engine compartment|Cooling in the fire zone|The role is the same with fire-fighting hose team,2,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a13
14,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a14
15,Tranceiver_01|Idle_01,2,"""true""",Who operate the fixed CO2 fire-fighting system?,Captain.|Chief officer|Chief engineer,2,"""false""",Walking_01,,Path003,,,"""false""","""false""","""false""","""false""","""false""",,a15
16,Tranceiver_01|Idle_01,2,"""true""",Why should all personnel be evacuated when using a fixed CO2 fire extinguisher?,Risk of loss of lives due to engine room cooling|Because it is the last method for fire-fighting|Some crew to shut the ventilator need to remain in engine room,0,"""false""",Walking_01,,Path004,,,"""false""","""false""","""false""","""false""","""false""",,a16
17,Tranceiver_01|Idle_01,2,"""true""",What is the proper equipment for the PIC in firemen's outfit?,Lantern|Life line|Fire extinguisher,1,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a17
18,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""false""","""false""","""false""",,a18
19,Tranceiver_01|Idle_01,2,"""true""",,,,"""false""",Idle_01,,,,,"""false""","""false""","""true""","""false""","""false""",,a19
